ZIP,date,week,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,stay_home_ratio,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
90755,2020/3/17,2020/3/22,8,3,420,5167,166,835,17,98,11074,5082,0.000722413,0.000270905,2,2.530120482,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91001,2020/3/17,2020/3/22,1,1,1171,5442,419,809,48,94,37711,4558,2.65E-05,2.65E-05,2,2.794749403,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91007,2020/3/17,2020/3/22,1,0,1394,6145,558,1043,26,98,34523,6210,2.90E-05,0,2,2.498207885,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91030,2020/3/17,2020/3/22,1,0,906,4101,345,992,43,96,25794,7562,3.88E-05,0,2,2.626086957,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91104,2020/3/17,2020/3/22,2,0,1120,4932,426,861,34,96,37974,9985,5.27E-05,0,2,2.629107981,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91208,2020/3/17,2020/3/22,3,1,543,5078,198,1028,33,97,13538,3551,0.000221598,7.39E-05,2,2.742424242,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91304,2020/3/17,2020/3/22,3,0,2258,5151,937,855,29,97,53761,5716,5.58E-05,0,2,2.40981857,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91316,2020/3/17,2020/3/22,5,2,927,5369,422,1050,13,99,29964,5984,0.000166867,6.67E-05,2,2.196682464,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91330,2020/3/17,2020/3/22,1,0,190,48888,18,0,1178,0,3273,9598,0.00030553,0,2,10.55555556,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91344,2020/3/17,2020/3/22,3,0,2921,6917,1082,880,43,95,53266,3245,5.63E-05,0,2,2.699630314,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91350,2020/3/17,2020/3/22,2,0,2753,5614,1031,1027,39,96,37350,2204,5.35E-05,0,2,2.670223084,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91356,2020/3/17,2020/3/22,5,0,1402,4981,591,1060,20,98,30804,4200,0.000162317,0,2,2.372250423,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91364,2020/3/17,2020/3/22,2,1,1264,4620,514,1033,24,98,27340,3600,7.32E-05,3.66E-05,2,2.459143969,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91423,2020/3/17,2020/3/22,2,0,1161,4608,456,825,28,97,33737,7732,5.93E-05,0,2,2.546052632,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91606,2020/3/17,2020/3/22,1,1,1514,5240,553,741,56,93,44476,13344,2.25E-05,2.25E-05,1,2.737793852,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91754,2020/3/17,2020/3/22,1,1,1124,6262,443,912,36,96,33058,7294,3.02E-05,3.02E-05,2,2.53724605,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91765,2020/3/17,2020/3/22,2,0,2200,8056,807,886,43,95,47139,2491,4.24E-05,0,2,2.726146221,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91773,2020/3/17,2020/3/22,1,0,1564,7073,576,860,48,95,34496,2411,2.90E-05,0,2,2.715277778,68.19,46.31,63.51,-24,8,-21,-30,-29,14
91803,2020/3/17,2020/3/22,1,0,1072,5893,417,887,37,96,30385,9303,3.29E-05,0,2,2.570743405,68.19,46.31,63.51,-24,8,-21,-30,-29,14
90004,2020/3/18,2020/3/22,10,1,1802,4352,655,822,45,95,61586,20205,0.000162375,1.62E-05,2,2.751145038,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90006,2020/3/18,2020/3/22,1,0,1897,5782,468,559,118,83,61698,32134,1.62E-05,0,1,4.053418803,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90008,2020/3/18,2020/3/22,1,0,897,4888,342,636,42,94,31739,8641,3.15E-05,0,1,2.622807018,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90018,2020/3/18,2020/3/22,1,0,1254,6114,487,670,39,94,53256,18389,1.88E-05,0,1,2.574948665,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90025,2020/3/18,2020/3/22,1,1,1122,4167,484,852,11,99,47967,18671,2.08E-05,2.08E-05,2,2.318181818,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90033,2020/3/18,2020/3/22,5,0,1271,6727,441,682,65,91,47583,14564,0.00010508,0,1,2.882086168,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90039,2020/3/18,2020/3/22,1,0,648,5208,250,878,26,97,29589,7848,3.38E-05,0,2,2.592,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90041,2020/3/18,2020/3/22,1,0,928,11484,344,732,94,89,29516,8176,3.39E-05,0,2,2.697674419,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90043,2020/3/18,2020/3/22,1,0,1520,8389,539,680,45,94,44627,10795,2.24E-05,0,1,2.820037106,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90045,2020/3/18,2020/3/22,2,0,1319,26124,426,773,207,79,41149,3836,4.86E-05,0,2,3.096244131,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90046,2020/3/18,2020/3/22,5,1,1374,7637,524,585,30,95,50587,8750,9.88E-05,1.98E-05,2,2.622137405,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90049,2020/3/18,2020/3/22,2,1,1163,5310,465,1045,42,96,36964,2460,5.41E-05,2.71E-05,2,2.501075269,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90061,2020/3/18,2020/3/22,1,1,867,6836,295,577,72,89,27646,10385,3.62E-05,3.62E-05,1,2.938983051,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90066,2020/3/18,2020/3/22,1,0,1345,5396,518,927,22,98,59394,12064,1.68E-05,0,2,2.596525097,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90068,2020/3/18,2020/3/22,2,1,676,5686,262,702,16,98,20982,2754,9.53E-05,4.77E-05,2,2.580152672,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90069,2020/3/18,2020/3/22,11,3,591,7313,249,578,32,95,20435,9666,0.000538292,0.000146807,2,2.373493976,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90210,2020/3/18,2020/3/22,4,3,1278,481868,450,717,96,88,19909,1966,0.000200914,0.000150686,2,2.84,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90230,2020/3/18,2020/3/22,2,0,1009,4244,453,974,11,99,32808,7277,6.10E-05,0,2,2.227373068,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90247,2020/3/18,2020/3/22,1,0,1410,5691,497,704,53,93,47531,12661,2.10E-05,0,2,2.837022133,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90262,2020/3/18,2020/3/22,1,0,1894,6762,680,724,52,93,70936,14677,1.41E-05,0,2,2.785294118,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90266,2020/3/18,2020/3/22,4,0,1305,2746,564,1119,13,99,35573,9037,0.000112445,0,2,2.313829787,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90291,2020/3/18,2020/3/22,4,2,533,45364,183,791,62,93,27525,11018,0.000145322,7.27E-05,2,2.912568306,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90403,2020/3/18,2020/3/22,3,2,570,3862,218,875,31,97,24354,17054,0.000123183,8.21E-05,2,2.614678899,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90503,2020/3/18,2020/3/22,2,1,1962,4551,783,970,30,97,44908,8478,4.45E-05,2.23E-05,2,2.505747126,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90638,2020/3/18,2020/3/22,3,0,2464,7834,831,808,75,92,49383,6275,6.07E-05,0,2,2.965102286,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90731,2020/3/18,2020/3/22,1,0,1840,6290,635,696,58,92,61850,6717,1.62E-05,0,2,2.897637795,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90746,2020/3/18,2020/3/22,1,0,906,6716,345,560,45,93,26996,4628,3.70E-05,0,2,2.626086957,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90755,2020/3/18,2020/3/22,8,0,427,5885,158,879,28,97,11074,5082,0.000722413,0,2,2.702531646,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91007,2020/3/18,2020/3/22,2,1,1341,5204,543,1093,26,98,34523,6210,5.79E-05,2.90E-05,2,2.46961326,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91030,2020/3/18,2020/3/22,1,0,876,3951,348,1016,29,97,25794,7562,3.88E-05,0,2,2.517241379,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91104,2020/3/18,2020/3/22,2,0,1054,5406,428,902,40,96,37974,9985,5.27E-05,0,2,2.462616822,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91208,2020/3/18,2020/3/22,4,1,553,5724,211,997,20,98,13538,3551,0.000295465,7.39E-05,2,2.620853081,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91304,2020/3/18,2020/3/22,3,0,2207,5422,844,846,39,96,53761,5716,5.58E-05,0,2,2.61492891,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91316,2020/3/18,2020/3/22,6,1,919,5307,408,1050,16,98,29964,5984,0.00020024,3.34E-05,2,2.25245098,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91330,2020/3/18,2020/3/22,1,0,192,46530,19,0,1059,0,3273,9598,0.00030553,0,2,10.10526316,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91342,2020/3/18,2020/3/22,1,0,3471,8265,1241,747,58,93,96487,1750,1.04E-05,0,2,2.796937953,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91344,2020/3/18,2020/3/22,3,0,2856,7228,1119,894,38,96,53266,3245,5.63E-05,0,2,2.55227882,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91350,2020/3/18,2020/3/22,2,0,2653,5355,1034,1052,33,97,37350,2204,5.35E-05,0,2,2.565764023,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91356,2020/3/18,2020/3/22,5,0,1323,4733,548,1079,22,98,30804,4200,0.000162317,0,2,2.414233577,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91364,2020/3/18,2020/3/22,3,1,1219,3722,479,973,30,97,27340,3600,0.000109729,3.66E-05,2,2.544885177,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91423,2020/3/18,2020/3/22,4,2,1111,4771,480,901,18,98,33737,7732,0.000118564,5.93E-05,2,2.314583333,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91606,2020/3/18,2020/3/22,2,1,1456,5185,496,712,45,94,44476,13344,4.50E-05,2.25E-05,1,2.935483871,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91754,2020/3/18,2020/3/22,2,1,1080,6067,432,976,28,97,33058,7294,6.05E-05,3.02E-05,2,2.5,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91765,2020/3/18,2020/3/22,2,0,2069,7930,808,880,41,96,47139,2491,4.24E-05,0,2,2.560643564,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91773,2020/3/18,2020/3/22,1,0,1557,7578,599,860,34,96,34496,2411,2.90E-05,0,2,2.59933222,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91789,2020/3/18,2020/3/22,1,1,1619,6853,642,1006,42,96,44474,2844,2.25E-05,2.25E-05,2,2.521806854,63.35,42.19,59.28,-28,3,-12,-33,-33,16
91803,2020/3/18,2020/3/22,1,0,1021,6528,391,927,32,97,30385,9303,3.29E-05,0,2,2.611253197,63.35,42.19,59.28,-28,3,-12,-33,-33,16
90004,2020/3/19,2020/3/22,13,2,1889,4387,731,783,30,96,61586,20205,0.000211087,3.25E-05,2,2.584131327,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90006,2020/3/19,2020/3/22,1,0,1893,9472,470,525,105,83,61698,32134,1.62E-05,0,1,4.027659574,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90007,2020/3/19,2020/3/22,1,1,1624,89535,359,284,564,33,41716,16909,2.40E-05,2.40E-05,1,4.52367688,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90008,2020/3/19,2020/3/22,1,0,953,5625,313,553,34,94,31739,8641,3.15E-05,0,1,3.044728435,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90018,2020/3/19,2020/3/22,1,0,1268,5812,474,656,26,96,53256,18389,1.88E-05,0,1,2.675105485,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90022,2020/3/19,2020/3/22,1,1,1671,4944,572,717,37,95,65890,15036,1.52E-05,1.52E-05,1,2.921328671,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90024,2020/3/19,2020/3/22,2,1,1491,28910,456,404,248,62,50288,17186,3.98E-05,1.99E-05,2,3.269736842,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90025,2020/3/19,2020/3/22,7,2,1176,4962,474,727,14,98,47967,18671,0.000145934,4.17E-05,2,2.481012658,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90026,2020/3/19,2020/3/22,1,1,1676,6755,558,674,51,93,69589,16466,1.44E-05,1.44E-05,2,3.003584229,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90033,2020/3/19,2020/3/22,5,0,1282,6863,497,688,47,94,47583,14564,0.00010508,0,1,2.579476861,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90034,2020/3/19,2020/3/22,3,2,1709,5083,694,805,19,98,55652,17888,5.39E-05,3.59E-05,2,2.462536023,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90035,2020/3/19,2020/3/22,1,1,718,2739,257,887,26,97,28085,13646,3.56E-05,3.56E-05,2,2.793774319,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90036,2020/3/19,2020/3/22,3,1,1360,4689,544,798,24,97,37988,15373,7.90E-05,2.63E-05,2,2.5,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90041,2020/3/19,2020/3/22,1,0,937,11292,332,714,103,87,29516,8176,3.39E-05,0,2,2.822289157,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90043,2020/3/19,2020/3/22,1,0,1582,7488,543,595,40,94,44627,10795,2.24E-05,0,1,2.913443831,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90044,2020/3/19,2020/3/22,1,1,3023,6711,1087,639,37,95,96436,18772,1.04E-05,1.04E-05,1,2.781048758,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90045,2020/3/19,2020/3/22,3,1,1328,38867,391,638,189,77,41149,3836,7.29E-05,2.43E-05,2,3.396419437,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90046,2020/3/19,2020/3/22,5,0,1360,7002,510,647,36,95,50587,8750,9.88E-05,0,2,2.666666667,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90049,2020/3/19,2020/3/22,13,11,1194,5478,469,963,33,97,36964,2460,0.000351694,0.000297587,2,2.545842217,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90066,2020/3/19,2020/3/22,1,0,1420,4213,567,857,19,98,59394,12064,1.68E-05,0,2,2.504409171,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90068,2020/3/19,2020/3/22,2,0,703,5265,246,654,28,96,20982,2754,9.53E-05,0,2,2.857723577,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90069,2020/3/19,2020/3/22,12,1,618,7972,249,551,22,96,20435,9666,0.000587228,4.89E-05,2,2.481927711,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90094,2020/3/19,2020/3/22,1,1,270,4241,124,817,8,99,9368,15332,0.000106746,0.000106746,2,2.177419355,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90210,2020/3/19,2020/3/22,4,0,1310,469590,456,639,66,91,19909,1966,0.000200914,0,2,2.872807018,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90230,2020/3/19,2020/3/22,3,1,1048,4748,433,906,18,98,32808,7277,9.14E-05,3.05E-05,2,2.420323326,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90247,2020/3/19,2020/3/22,1,0,1452,5635,478,656,47,93,47531,12661,2.10E-05,0,2,3.037656904,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90250,2020/3/19,2020/3/22,1,1,3226,5443,1203,712,34,95,96836,14463,1.03E-05,1.03E-05,2,2.68162926,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90262,2020/3/19,2020/3/22,1,0,1949,6596,681,700,51,93,70936,14677,1.41E-05,0,2,2.861967695,59.1,36.73,53.2,-32,3,-30,-39,-35,18
90265,2020/3/19,2020/3/22,2,1,686,37822,188,662,299,69,18389,170,0.000108761,5.44E-05,2,3.64893617,59.1,36.73,53.2,-32,3,-30,-39,-35,18
